"","SizeClass","Taxname","Lifestage"
"1","Meso","Asplanchna","Adult"
"2","Meso","Copepoda","Larva"
"3","Meso","Eurytemora affinis","Larva"
"4","Meso","Harpacticoida","Mixed"
"5","Meso","Keratella","Adult"
"6","Meso","Limnoithona","Adult"
"7","Meso","Limnoithona","Juvenile"
"8","Meso","Limnoithona sinensis","Adult"
"9","Meso","Limnoithona tetraspina","Adult"
"10","Meso","Oithona","Adult"
"11","Meso","Oithona davisae","Adult"
"12","Meso","Oithona","Juvenile"
"13","Meso","Polyarthra","Adult"
"14","Meso","Pseudodiaptomus","Larva"
"15","Meso","Rotifera","Adult"
"16","Meso","Sinocalanus doerrii","Larva"
"17","Meso","Synchaeta","Adult"
"18","Meso","Synchaeta bicornis","Adult"
"19","Meso","Trichocerca","Adult"
"20","Micro","Cirripedia","Larva"
"21","Micro","Cyclopoida","Adult"
"22","Micro","Oithona similis","Adult"
