Source,Station,Region,Longitude,Latitue
20mm,411,Suisun Bay,-122.07653,38.05022
20mm,418,Suisun Bay,-122.09556,38.0675
20mm,501,Suisun Bay,-122.02633,38.07333
20mm,504,Suisun Bay,-121.98608,38.05194
20mm,508,Confluence,-121.91722,38.04717
20mm,513,Confluence,-121.86775,38.05886
20mm,519,Suisun Bay,-121.95808,38.07475
20mm,520,Confluence,-121.86311,38.03217
20mm,602,Suisun Bay,-122.04239,38.11556
20mm,606,Suisun Marsh,-122.02792,38.17058
20mm,609,Suisun Marsh,-121.93783,38.16708
20mm,610,Suisun Marsh,-121.88911,38.12219
20mm,703,Confluence,-121.79739,38.04861
20mm,704,Confluence,-121.79031,38.06658
20mm,705,Confluence,-121.70875,38.09761
20mm,706,Confluence,-121.75044,38.08608
20mm,707,Confluence,-121.70786,38.11469
20mm,711,Confluence,-121.66225,38.17742
20mm,716,North,-121.68392,38.23856
20mm,718,North,-121.72903,38.25756
20mm,719,North,-121.6475,38.3335
20mm,720,North,-121.77928,38.26264
20mm,723,North,-121.67308,38.23725
20mm,724,North,-121.65208,38.25625
20mm,726,North,-121.64383,38.28306
20mm,801,Confluence,-121.844,38.04369
20mm,804,Confluence,-121.79131,38.01644
20mm,809,SouthCentral,-121.69303,38.05378
20mm,812,SouthCentral,-121.63992,38.08992
20mm,815,SouthCentral,-121.57114,38.08714
20mm,901,SouthCentral,-121.6185,38.04625
20mm,902,SouthCentral,-121.58267,38.02039
20mm,906,SouthCentral,-121.50647,38.05003
20mm,910,SouthCentral,-121.45303,38.005
20mm,912,SouthCentral,-121.36856,37.96642
20mm,914,SouthCentral,-121.52,37.9715
20mm,915,SouthCentral,-121.56789,37.94428
20mm,918,SouthCentral,-121.56714,37.859
20mm,919,SouthCentral,-121.49458,38.10519
EMP,NZ028,Suisun Bay,-122.04722,38.11722
EMP,NZ032,Suisun Marsh,-122.02083,38.17028
EMP,NZ048,Suisun Bay,-121.99583,38.06
EMP,NZ054,Confluence,-121.90639,38.04583
EMP,NZ060,Confluence,-121.82889,38.06444
EMP,NZ064,Confluence,-121.73806,38.08472
EMP,NZ068,Confluence,-121.68361,38.14806
EMP,NZ074,Confluence,-121.80361,38.02222
EMP,NZ086,SouthCentral,-121.57028,38.07778
EMP,NZ092,SouthCentral,-121.38194,37.97833
EMP,NZD06,Suisun Bay,-122.11667,38.04444
EMP,NZD16,SouthCentral,-121.66667,38.09722
EMP,NZD19,SouthCentral,-121.61361,38.04389
EMP,NZD28,SouthCentral,-121.57722,37.98278
EMP,NZM10,SouthCentral,-121.42639,38.04361
EMP,NZS42,Suisun Marsh,-122.04722,38.18056
FMWT,411,Suisun Bay,-122.06828,38.06117
FMWT,416,Suisun Bay,-122.09415,38.0702
FMWT,418,Suisun Bay,-122.06973,38.09383
FMWT,501,Suisun Bay,-122.01955,38.06167
FMWT,502,Suisun Bay,-122.00397,38.05997
FMWT,504,Suisun Bay,-121.9767,38.05945
FMWT,508,Confluence,-121.91492,38.04813
FMWT,513,Confluence,-121.86842,38.0592
FMWT,519,Suisun Bay,-121.94725,38.07378
FMWT,520,Confluence,-121.86931,38.03281
FMWT,602,Suisun Bay,-122.04183,38.11783
FMWT,605,Suisun Marsh,-122.05738,38.14853
FMWT,606,Suisun Marsh,-122.02177,38.1698
FMWT,608,Suisun Marsh,-121.88332,38.0887
FMWT,609,Suisun Marsh,-121.9347,38.16771
FMWT,704,Confluence,-121.77892,38.07087
FMWT,706,Confluence,-121.74,38.0903
FMWT,707,Confluence,-121.70797,38.11397
FMWT,711,Confluence,-121.67028,38.17595
FMWT,716,North,-121.68438,38.23787
FMWT,719,North,-121.64733,38.33428
FMWT,721,North,-121.70277,38.26815
FMWT,722,North,-121.68858,38.255027
FMWT,723,North,-121.67348,38.23615
FMWT,795,North,-121.58468,38.5377
FMWT,796,North,-121.5844,38.47387
FMWT,797,North,-121.6156,38.40462
FMWT,802,Confluence,-121.83875,38.03528
FMWT,804,Confluence,-121.79868,38.02308
FMWT,809,SouthCentral,-121.69305,38.0512
FMWT,812,SouthCentral,-121.64883,38.08792
FMWT,815,SouthCentral,-121.57587,38.0913
FMWT,902,SouthCentral,-121.58255,38.0205
FMWT,906,SouthCentral,-121.51653,38.05412
FMWT,910,SouthCentral,-121.45037,38.00228
FMWT,912,SouthCentral,-121.37172,37.96883
FMWT,914,SouthCentral,-121.53475,37.94662
FMWT,915,SouthCentral,-121.55908,37.949
